iter	Passed	Remaining
566	2670	2039
567	2674	2034
568	2679	2029
569	2683	2024
570	2687	2019
571	2694	2016
572	2698	2011
573	2718	2017
574	2722	2011
575	2727	2008
576	2731	2002
577	2735	1997
578	2740	1992
579	2744	1987
580	2748	1982
581	2751	1976
582	2757	1972
583	2761	1967
584	2764	1961
585	2768	1956
586	2774	1952
587	2778	1946
588	2782	1941
589	2786	1936
590	2791	1931
591	2794	1926
592	2798	1920
593	2803	1916
594	2807	1911
595	2811	1906
596	2816	1900
597	2822	1897
598	2826	1892
599	2830	1886
600	2834	1882
601	2840	1877
602	2845	1873
603	2848	1867
604	2855	1864
605	2859	1859
606	2863	1853
607	2869	1850
608	2873	1844
609	2877	1839
610	2881	1834
611	2886	1830
612	2890	1824
613	2894	1819
614	2900	1815
615	2904	1810
616	2908	1805
617	2913	1800
618	2917	1795
619	2921	1790
620	2925	1785
621	2930	1781
622	2934	1775
623	2938	1770
624	2942	1765
625	2948	1761
626	2951	1756
627	2955	1750
628	2959	1745
629	2965	1741
630	2968	1736
631	2972	1730
632	2977	1726
633	2981	1721
634	2985	1715
635	2989	1710
636	2994	1706
637	2998	1701
638	3002	1695
639	3006	1690
640	3011	1686
641	3017	1682
642	3022	1678
643	3029	1674
644	3034	1669
645	3040	1665
646	3045	1661
647	3051	1657
648	3056	1653
649	3061	1648
650	3065	1643
651	3069	1638
652	3076	1634
653	3079	1629
654	3083	1624
655	3087	1619
656	3092	1614
657	3096	1609
658	3099	1604
659	3105	1599
660	3108	1594
661	3113	1589
662	3117	1584
663	3122	1580
664	3126	1575
665	3130	1570
666	3134	1565
667	3139	1560
668	3143	1555
669	3147	1550
670	3152	1545
671	3157	1541
672	3162	1536
673	3166	1531
674	3172	1527
675	3176	1522
676	3181	1517
677	3187	1513
678	3191	1508
679	3196	1504
680	3203	1500
681	3207	1495
682	3212	1490
683	3220	1487
684	3225	1483
685	3229	1478
686	3236	1474
687	3240	1469
688	3245	1464
689	3252	1461
690	3258	1456
691	3263	1452
692	3268	1448
693	3272	1443
694	3277	1438
695	3282	1433
696	3286	1428
697	3291	1424
698	3297	1420
699	3303	1415
700	3307	1410
701	3313	1406
702	3318	1401
703	3322	1396
704	3327	1392
705	3332	1387
706	3335	1382
707	3339	1377
708	3345	1373
709	3350	1368
710	3354	1363
711	3360	1359
712	3365	1354
713	3369	1349
714	3374	1344
715	3379	1340
716	3383	1335
717	3387	1330
718	3393	1326
719	3397	1321
720	3401	1316
721	3406	1311
722	3412	1307
723	3417	1302
724	3422	1298
725	3427	1293
726	3432	1288
727	3437	1284
728	3442	1279
729	3448	1275
730	3453	1271
731	3459	1266
732	3464	1262
733	3469	1257
734	3475	1252
735	3479	1248
736	3483	1243
737	3490	1239
738	3495	1234
739	3498	1229
740	3505	1225
741	3509	1220
742	3513	1215
743	3519	1210
744	3524	1206
745	3527	1201
746	3532	1196
747	3538	1191
748	3542	1187
749	3546	1182
750	3552	1177
751	3556	1172
752	3564	1169
753	3570	1164
754	3574	1159
755	3578	1154
756	3584	1150
757	3588	1145
758	3592	1140
759	3598	1136
760	3603	1131
761	3608	1127
762	3613	1122
763	3619	1118
764	3624	1113
765	3628	1108
766	3635	1104
767	3641	1099
768	3648	1095
769	3652	1091
770	3656	1086
771	3661	1081
772	3667	1076
773	3670	1071
774	3674	1066
775	3681	1062
776	3685	1057
777	3689	1052
778	3695	1048
779	3700	1043
780	3704	1038
781	3709	1034
782	3714	1029
783	3718	1024
784	3722	1019
785	3728	1015
786	3732	1010
787	3736	1005
788	3740	1000
789	3745	995
790	3749	990
791	3753	985
792	3759	981
793	3764	976
794	3768	971
795	3773	966
796	3778	962
797	3782	957
798	3787	952
799	3793	948
800	3797	943
801	3801	938
802	3807	934
803	3813	929
804	3817	924
805	3824	920
806	3828	915
807	3833	910
808	3840	906
809	3847	902
810	3852	897
811	3858	893
812	3862	888
813	3867	883
814	3872	879
815	3877	874
816	3881	869
817	3888	865
818	3892	860
819	3896	855
820	3903	850
821	3908	846
822	3911	841
823	3917	836
824	3922	832
825	3926	827
826	3931	822
827	3937	817
828	3941	812
829	3945	808
830	3951	803
831	3955	798
832	3959	793
833	3965	789
834	3969	784
835	3973	779
836	3978	774
837	3984	770
838	3988	765
839	3992	760
840	4007	757
841	4014	753
842	4018	748
843	4022	743
844	4028	738
845	4032	734
846	4038	729
847	4043	724
848	4048	719
849	4051	715
850	4055	710
851	4060	705
852	4064	700
853	4068	695
854	4071	690
855	4077	685
856	4081	680
857	4085	676
858	4089	671
859	4094	666
860	4098	661
861	4102	656
862	4107	652
863	4111	647
864	4115	642
865	4118	637
866	4124	632
867	4128	627
868	4132	622
869	4135	617
870	4140	613
871	4144	608
872	4148	603
873	4151	598
874	4156	593
875	4160	588
876	4163	583
877	4167	579
878	4172	574
879	4175	569
880	4179	564
881	4183	559
882	4188	554
883	4191	550
884	4195	545
885	4199	540
886	4204	535
887	4208	530
888	4213	526
889	4217	521
890	4223	516
891	4228	511
892	4234	507
893	4239	502
894	4243	497
895	4246	492
896	4252	488
897	4256	483
898	4259	478
899	4263	473
900	4268	468
901	4272	464
902	4275	459
903	4279	454
904	4284	449
905	4287	444
906	4291	440
907	4295	435
908	4299	430
909	4303	425
910	4307	420
911	4312	416
912	4316	411
913	4319	406
914	4323	401
915	4328	396
916	4332	392
917	4337	387
918	4341	382
919	4346	377
920	4350	373
921	4354	368
922	4359	363
923	4363	358
924	4367	354
925	4370	349
926	4378	344
927	4383	340
928	4390	335
929	4396	330
930	4402	326
931	4409	321
932	4415	317
933	4426	312
934	4432	308
935	4475	306
936	4500	302
937	4514	298
938	4522	293
939	4530	289
940	4541	284
941	4549	280
942	4560	275
943	4572	271
944	4582	266
945	4591	262
946	4601	257
947	4610	252
948	4617	248
949	4622	243
950	4629	238
951	4636	233
952	4673	230
953	4692	226
954	4712	222
955	4730	217
956	4741	213
957	4747	208
958	4754	203
959	4761	198
960	4769	193
961	4784	189
962	4793	184
963	4801	179
964	4806	174
965	4810	169
966	4816	164
967	4820	159
968	4826	154
969	4830	149
970	4834	144
971	4839	139
972	4843	134
973	4847	129
974	4851	124
975	4856	119
976	4860	114
977	4864	109
978	4867	104
979	4873	99
980	4877	94
981	4881	89
982	4884	84
983	4889	79
984	4893	74
985	4897	69
986	4900	64
987	4906	59
988	4910	54
989	4914	49
990	4919	44
991	4923	39
992	4926	34
993	4930	29
994	4935	24
995	4939	19
996	4942	14
997	4946	9
998	4951	4
999	4955	0
