cod_segmento;segmento;cod_subsegmento;calificacion_riesgos;tasa_cartera;tasa_operacion_especifica;tasa_hipotecario;tasa_leasing;tasa_sufi;tasa_factoring;tasa_tarjeta
5;PYME;1;C6;0,213128851;0,225331165;0,13164599;0,148554722;0,123704;0,159247454;0,3867
5;PYME;1;C5;0,220851318;0,225739711;0,128756105;0,157763946;0,145249;0,15718123;0,3867
5;PYME;1;C4;0,217352992;0,222623917;0,163771548;0,136838784;0,116284;0,182032454;0,3867
5;PYME;1;C3;0,204488854;0,214843043;0,143759373;0,147573508;0,126494;0,253818698;0,3867
5;PYME;1;C2;0,20452561;0,212406154;0,124317456;0,141146956;0,126456;0,121447157;0,3867
5;PYME;1;C1;0,193960091;0,200085733;0,126630385;0,127506137;0,058169;0,190564603;0,3867
5;PYME;2;C19;0,242361802;0,24216232;0,177845;0,167353302;0,03;0,161583514;0,3867
5;PYME;2;C18;0,283828077;0,257277265;0,16272125;0,122438568;0,072186;0,119482114;0,3867
5;PYME;2;C17;0,279969307;0,255553603;0,1475975;0,127259045;0,120748;0,135682901;0,3867
5;PYME;2;C16;0,287689369;0,247997587;0,13247375;0,138140811;0,120748;0,13322369;0,3867
5;PYME;2;C15;0,273666663;0,242561717;0,11735;0,131470739;0,125831;0,136766981;0,3867
5;PYME;2;C14;0,26908487;0,241462006;0,151405;0,132333998;0,117135;0,14619497;0,3867
5;PYME;2;C13;0,24872747;0,233440398;0,18546;0,12738135;0,126093;0,14175433;0,3867
5;PYME;2;C12;0,237221603;0,224702026;0,219515;0,126643676;0,109189;0,155789789;0,3867
5;PYME;2;C11;0,225932201;0,221213219;0,25357;0,124756899;0,119449;0,170601331;0,3867
